id,name,dateOfBirth,role,battingStyle,bowlingStyle,country,playerImg,team
"B9701B53-3B9E-4EDA-93B1-3543809674D4","Vicky Ostwal","2002-09-01T00:00:00","Bowler","Right Handed Bat","Left-arm orthodox","India","https://h.cricapi.com/img/players/b9701b53-3b9e-4eda-93b1-3543809674d4.jpg","Royal Challengers Bengaluru"
"3F3ECF51-8411-4046-9477-18C0FE3DA6AC","Bhuvneshwar Kumar","1990-02-05T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/players/3f3ecf51-8411-4046-9477-18c0fe3da6ac.jpg","Royal Challengers Bengaluru"
"C61D247D-7F77-452C-B495-2813A9CD0AC4","Virat Kohli","1988-11-05T00:00:00","Batsman","Right Handed Bat","Right-arm medium","India","https://h.cricapi.com/img/players/c61d247d-7f77-452c-b495-2813a9cd0ac4.jpg","Royal Challengers Bengaluru"
"E5932C98-5C2A-4ADE-8238-3B6382B18EF3","Vihaan Malhotra","2007-01-01T00:00:00","Batsman","Left Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"7FD4FA20-BC49-4337-AE8A-540B67CB011D","Romario Shepherd","1994-11-26T00:00:00","Bowling Allrounder","Right Handed Bat","Right-arm fast-medium","West Indies","https://h.cricapi.com/img/players/7fd4fa20-bc49-4337-ae8a-540b67cb011d.jpg","Royal Challengers Bengaluru"
"D8B0E01B-B754-432B-80A4-551E8C7EC8CA","Jacob Bethell","2003-10-23T00:00:00","Batting Allrounder","Left Handed Bat","Left-arm orthodox","England","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"F061B5FC-CD70-480C-86AA-45C7828E739C","Yash Dayal","1997-12-13T00:00:00","Bowler","Right Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"40ED69DA-5D26-45EB-B9F8-72140B81B51A","Jordan Cox","2000-10-21T00:00:00","WK-Batsman","Right Handed Bat","","England","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"88215EE9-CA67-48AF-A3F0-6B38718BD830","Rajat Patidar","1993-06-01T00:00:00","Batsman","Right Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"69718248-2A3A-45D4-9A2A-6F4DFC6942A5","Tim David","1996-03-16T00:00:00","Batsman","Right Handed Bat","Right-arm offbreak","Australia","https://h.cricapi.com/img/players/69718248-2a3a-45d4-9a2a-6f4dfc6942a5.jpg","Royal Challengers Bengaluru"
"2190C28D-1712-4FD2-AE44-9AC54319FC21","Josh Hazlewood","1991-01-08T00:00:00","Bowler","Left Handed Bat","Right-arm fast-medium","Australia","https://h.cricapi.com/img/players/2190c28d-1712-4fd2-ae44-9ac54319fc21.jpg","Royal Challengers Bengaluru"
"4C17AABA-7455-4E74-82AC-86E60D480999","Mangesh Yadav","2002-10-10T00:00:00","Bowling Allrounder","Left Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"3676CC16-9DDF-446F-A4F1-93DBBEF6E132","Satvik Deswal","","Bowling Allrounder","Left Handed Bat","Right-arm medium","India","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"41F91A34-8989-4B88-96B9-9FBBE725776F","Swapnil Singh","1991-01-22T00:00:00","Bowling Allrounder","Right Handed Bat","Left-arm orthodox","India","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"849877F5-7704-4CAD-B1BA-9E0B33AED35E","Abhinandan Singh","1997-03-30T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"C3236037-6694-404A-8F01-9AD880564EA9","Venkatesh Iyer","1994-12-25T00:00:00","Batting Allrounder","Left Handed Bat","Right-arm medium","India","https://h.cricapi.com/img/players/c3236037-6694-404a-8f01-9ad880564ea9.jpg","Royal Challengers Bengaluru"
"A1F7A1F3-F19C-43D2-BCD7-B4BAE22F5842","Rasikh Salam Dar","2000-04-05T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Royal Challengers Bengaluru"
"74C6584A-45A5-4781-A5E7-C0C9340DA954","Devdutt Padikkal","2000-07-07T00:00:00","Batsman","Left Handed Bat","Right-arm offbreak","India","https://h.cricapi.com/img/players/74c6584a-45a5-4781-a5e7-c0c9340da954.jpg","Royal Challengers Bengaluru"
"6E05CBEA-6A4B-42EF-8E2E-B44E4B434C2F","Jacob Duffy","1994-08-02T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","New Zealand","https://h.cricapi.com/img/players/6e05cbea-6a4b-42ef-8e2e-b44e4b434c2f.jpg","Royal Challengers Bengaluru"
